Time (s),Absolute acceleration (m/s^2)
6.13E+00,1.54E+00
6.14E+00,4.19E+00
6.15E+00,7.89E+00
6.16E+00,9.56E+00
6.17E+00,9.72E+00
6.18E+00,9.77E+00
6.19E+00,9.75E+00
6.20E+00,9.75E+00
6.21E+00,9.75E+00
6.22E+00,9.75E+00
6.23E+00,9.75E+00
6.24E+00,9.75E+00
6.25E+00,9.76E+00
6.26E+00,9.76E+00
6.27E+00,9.75E+00
6.28E+00,9.75E+00
6.29E+00,9.75E+00
6.30E+00,9.74E+00
6.31E+00,9.74E+00
6.32E+00,9.75E+00
6.33E+00,9.75E+00
6.34E+00,9.74E+00
6.35E+00,9.74E+00
6.36E+00,9.75E+00
6.37E+00,9.74E+00
6.38E+00,9.74E+00
6.39E+00,9.74E+00
6.40E+00,9.74E+00
6.41E+00,9.74E+00
6.42E+00,9.74E+00
6.43E+00,9.74E+00
6.44E+00,9.74E+00
6.45E+00,9.73E+00
6.46E+00,9.73E+00
6.47E+00,9.71E+00
6.48E+00,9.73E+00
6.49E+00,9.72E+00
6.50E+00,9.71E+00
6.51E+00,9.72E+00
6.52E+00,9.71E+00
6.53E+00,9.71E+00
6.54E+00,9.71E+00
6.55E+00,9.70E+00
6.56E+00,8.67E+00
