Time (s),Absolute acceleration (m/s^2)
4.49E+00,1.90E+00
4.50E+00,2.81E+00
4.51E+00,4.82E+00
4.52E+00,7.55E+00
4.53E+00,9.26E+00
4.54E+00,9.81E+00
4.55E+00,9.71E+00
4.56E+00,9.73E+00
4.57E+00,9.73E+00
4.58E+00,9.72E+00
4.59E+00,9.71E+00
4.60E+00,9.71E+00
4.61E+00,9.72E+00
4.62E+00,9.70E+00
4.63E+00,9.71E+00
4.64E+00,9.71E+00
4.65E+00,9.71E+00
4.66E+00,9.71E+00
4.67E+00,9.70E+00
4.68E+00,9.70E+00
4.69E+00,9.70E+00
4.70E+00,9.69E+00
4.71E+00,9.68E+00
4.72E+00,9.68E+00
4.73E+00,9.69E+00
4.74E+00,9.68E+00
4.75E+00,9.67E+00
4.76E+00,9.67E+00
4.77E+00,9.67E+00
4.78E+00,9.66E+00
4.79E+00,9.64E+00
4.80E+00,9.64E+00
4.81E+00,9.64E+00
4.82E+00,9.62E+00
4.83E+00,9.62E+00
4.84E+00,9.61E+00
4.85E+00,9.59E+00
4.86E+00,9.58E+00
4.87E+00,9.57E+00
4.88E+00,9.55E+00
4.89E+00,9.36E+00
