Time (s),Absolute acceleration (m/s^2)
4.75E+00,1.06E+00
4.76E+00,2.15E+00
4.77E+00,2.99E+00
4.78E+00,3.54E+00
4.79E+00,5.97E+00
4.80E+00,1.03E+01
4.81E+00,9.78E+00
4.82E+00,9.77E+00
4.83E+00,9.79E+00
4.84E+00,9.79E+00
4.85E+00,9.78E+00
4.86E+00,9.78E+00
4.87E+00,9.78E+00
4.88E+00,9.79E+00
4.89E+00,9.78E+00
4.90E+00,9.78E+00
4.91E+00,9.78E+00
4.92E+00,9.78E+00
4.93E+00,9.78E+00
4.94E+00,9.78E+00
4.95E+00,9.78E+00
4.96E+00,9.78E+00
4.97E+00,9.78E+00
4.98E+00,9.78E+00
4.99E+00,9.78E+00
5.00E+00,9.78E+00
5.01E+00,9.77E+00
5.02E+00,9.77E+00
5.03E+00,9.77E+00
5.04E+00,9.76E+00
5.05E+00,9.77E+00
5.06E+00,9.77E+00
5.07E+00,9.77E+00
5.08E+00,9.77E+00
5.09E+00,9.76E+00
5.10E+00,9.76E+00
5.11E+00,9.76E+00
5.12E+00,9.76E+00
5.13E+00,9.75E+00
5.14E+00,9.75E+00
5.15E+00,9.75E+00
5.16E+00,9.74E+00
5.17E+00,9.73E+00
5.18E+00,9.72E+00
5.19E+00,9.73E+00
5.20E+00,9.09E+00
