Time (s),Absolute acceleration (m/s^2)
3.58E+00,1.79E+00
3.59E+00,2.52E+00
3.60E+00,3.00E+00
3.61E+00,8.76E+00
3.62E+00,1.02E+01
3.63E+00,9.53E+00
3.64E+00,9.79E+00
3.65E+00,9.75E+00
3.66E+00,9.75E+00
3.67E+00,9.75E+00
3.68E+00,9.76E+00
3.69E+00,9.75E+00
3.70E+00,9.75E+00
3.71E+00,9.75E+00
3.72E+00,9.75E+00
3.73E+00,9.74E+00
3.74E+00,9.75E+00
3.75E+00,9.76E+00
3.76E+00,9.76E+00
3.77E+00,9.75E+00
3.78E+00,9.75E+00
3.79E+00,9.75E+00
3.80E+00,9.75E+00
3.81E+00,9.75E+00
3.82E+00,9.75E+00
3.83E+00,9.75E+00
3.84E+00,9.75E+00
3.85E+00,9.74E+00
3.86E+00,9.75E+00
3.87E+00,9.75E+00
3.88E+00,9.75E+00
3.89E+00,9.75E+00
3.90E+00,9.75E+00
3.91E+00,9.75E+00
3.92E+00,9.75E+00
3.93E+00,9.75E+00
3.94E+00,9.75E+00
3.95E+00,9.75E+00
3.96E+00,9.74E+00
3.97E+00,9.74E+00
3.98E+00,9.72E+00
