Time (s),Absolute acceleration (m/s^2)
1.06E+00,1.79E+00
1.07E+00,2.32E+00
1.08E+00,3.12E+00
1.09E+00,5.30E+00
1.10E+00,6.79E+00
1.11E+00,7.33E+00
1.12E+00,1.00E+01
1.13E+00,9.79E+00
1.14E+00,9.74E+00
1.15E+00,9.78E+00
1.16E+00,9.78E+00
1.17E+00,9.77E+00
1.18E+00,9.76E+00
1.19E+00,9.76E+00
1.20E+00,9.77E+00
1.21E+00,9.77E+00
1.22E+00,9.77E+00
1.23E+00,9.76E+00
1.24E+00,9.76E+00
1.25E+00,9.77E+00
1.26E+00,9.77E+00
1.27E+00,9.76E+00
1.28E+00,9.76E+00
1.29E+00,9.76E+00
1.30E+00,9.76E+00
1.31E+00,9.76E+00
1.32E+00,9.76E+00
1.33E+00,9.76E+00
1.34E+00,9.76E+00
1.35E+00,9.76E+00
1.36E+00,9.75E+00
1.37E+00,9.75E+00
1.38E+00,9.75E+00
1.39E+00,9.74E+00
1.40E+00,9.74E+00
1.41E+00,9.75E+00
1.42E+00,9.74E+00
1.43E+00,8.89E+00
