Time (s),Absolute acceleration (m/s^2)
5.27E+00,1.80E+00
5.28E+00,2.93E+00
5.29E+00,3.93E+00
5.30E+00,5.23E+00
5.31E+00,1.02E+01
5.32E+00,9.75E+00
5.33E+00,9.78E+00
5.34E+00,9.78E+00
5.35E+00,9.78E+00
5.36E+00,9.78E+00
5.37E+00,9.79E+00
5.38E+00,9.78E+00
5.39E+00,9.78E+00
5.40E+00,9.78E+00
5.41E+00,9.77E+00
5.42E+00,9.77E+00
5.43E+00,9.78E+00
5.44E+00,9.77E+00
5.45E+00,9.77E+00
5.46E+00,9.76E+00
5.47E+00,9.77E+00
5.48E+00,9.76E+00
5.49E+00,9.76E+00
5.50E+00,9.76E+00
5.51E+00,9.75E+00
5.52E+00,9.74E+00
5.53E+00,9.74E+00
5.54E+00,9.74E+00
5.55E+00,9.73E+00
5.56E+00,9.72E+00
5.57E+00,9.72E+00
5.58E+00,9.72E+00
5.59E+00,9.70E+00
5.60E+00,9.70E+00
5.61E+00,9.69E+00
5.62E+00,9.67E+00
5.63E+00,9.66E+00
5.64E+00,9.64E+00
5.65E+00,9.64E+00
5.66E+00,9.62E+00
5.67E+00,9.60E+00
5.68E+00,9.57E+00
5.69E+00,9.56E+00
5.70E+00,9.54E+00
5.71E+00,9.37E+00
