Time (s),Absolute acceleration (m/s^2)
3.45E+00,8.63E-01
3.46E+00,2.07E+00
3.47E+00,3.52E+00
3.48E+00,4.39E+00
3.49E+00,9.11E+00
3.50E+00,1.01E+01
3.51E+00,9.70E+00
3.52E+00,9.78E+00
3.53E+00,9.77E+00
3.54E+00,9.77E+00
3.55E+00,9.76E+00
3.56E+00,9.78E+00
3.57E+00,9.76E+00
3.58E+00,9.77E+00
3.59E+00,9.77E+00
3.60E+00,9.76E+00
3.61E+00,9.75E+00
3.62E+00,9.75E+00
3.63E+00,9.75E+00
3.64E+00,9.74E+00
3.65E+00,9.74E+00
3.66E+00,9.74E+00
3.67E+00,9.74E+00
3.68E+00,9.73E+00
3.69E+00,9.72E+00
3.70E+00,9.72E+00
3.71E+00,9.71E+00
3.72E+00,9.70E+00
3.73E+00,9.69E+00
3.74E+00,9.69E+00
3.75E+00,9.68E+00
3.76E+00,9.67E+00
3.77E+00,9.65E+00
3.78E+00,9.64E+00
3.79E+00,9.62E+00
3.80E+00,9.60E+00
3.81E+00,9.58E+00
3.82E+00,9.57E+00
3.83E+00,9.54E+00
3.84E+00,9.52E+00
3.85E+00,9.48E+00
3.86E+00,9.44E+00
