Time (s),Absolute acceleration (m/s^2)
1.56E+00,1.36E+00
1.57E+00,2.28E+00
1.58E+00,2.77E+00
1.59E+00,3.38E+00
1.60E+00,5.50E+00
1.61E+00,9.99E+00
1.62E+00,9.49E+00
1.63E+00,9.80E+00
1.64E+00,9.76E+00
1.65E+00,9.76E+00
1.66E+00,9.76E+00
1.67E+00,9.77E+00
1.68E+00,9.77E+00
1.69E+00,9.77E+00
1.70E+00,9.77E+00
1.71E+00,9.77E+00
1.72E+00,9.77E+00
1.73E+00,9.77E+00
1.74E+00,9.77E+00
1.75E+00,9.77E+00
1.76E+00,9.77E+00
1.77E+00,9.78E+00
1.78E+00,9.78E+00
1.79E+00,9.78E+00
1.80E+00,9.78E+00
1.81E+00,9.79E+00
1.82E+00,9.79E+00
1.83E+00,9.78E+00
1.84E+00,9.79E+00
1.85E+00,9.78E+00
1.86E+00,9.78E+00
1.87E+00,9.78E+00
1.88E+00,9.78E+00
1.89E+00,9.78E+00
1.90E+00,9.79E+00
1.91E+00,9.78E+00
1.92E+00,9.79E+00
1.93E+00,9.60E+00
1.94E+00,9.10E+00
